DocType	DocEntry	DocumentNumber	DocumentDate	CustomerCode	CustomerName	LineNum	ItemCode	ItemDesc	Quantity	ReasonCode
Sales Order	1	1	10-01-2006 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	5		
Sales Order	1	1	10-01-2006 00:00:00	C20000	Norm Thompson	1	A00002	IBM Infoprint 1222	5		
Sales Order	1	1	10-01-2006 00:00:00	C20000	Norm Thompson	2	A00003	IBM Infoprint 1226	5		
Sales Order	1	1	10-01-2006 00:00:00	C20000	Norm Thompson	3	A00004	HP Color Laser Jet 5	5		
Sales Order	1	1	10-01-2006 00:00:00	C20000	Norm Thompson	4	A00005	HP Color Laser Jet 4	5		
Sales Order	2	2	15-01-2006 00:00:00	C30000	Microchips	0	A00006	HP 600 Series Inc	5		
Sales Order	2	2	15-01-2006 00:00:00	C30000	Microchips	1	B10000	Printer Label	200		
Sales Order	3	3	20-01-2006 00:00:00	C40000	Earthshaker Corporation	0	S10000	Server Point 10000	5		
Sales Order	4	4	25-01-2006 00:00:00	C23900	Parameter Technology	0	C00001	Motherboard P4 Turbo	6		
Sales Order	4	4	25-01-2006 00:00:00	C23900	Parameter Technology	1	A00003	IBM Infoprint 1226	6		
Sales Order	4	4	25-01-2006 00:00:00	C23900	Parameter Technology	2	LM4029MC	Memory Chip	10		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	0	A00001	IBM Infoprint 1312	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	1	A00002	IBM Infoprint 1222	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	2	A00003	IBM Infoprint 1226	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	3	A00004	HP Color Laser Jet 5	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	4	A00005	HP Color Laser Jet 4	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	5	A00006	HP 600 Series Inc	5		
Sales Order	5	5	30-01-2006 00:00:00	C42000	Mashina Corporation	6	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	6	6	15-02-2006 00:00:00	C30000	Microchips	0	C00002	Motherboard P4 Turbo - Asus Chipset	10		
Sales Order	6	6	15-02-2006 00:00:00	C30000	Microchips	1	C00010	Mouse USB	20		
Sales Order	6	6	15-02-2006 00:00:00	C30000	Microchips	2	C00011	Memory DDR RAM 512 MB	20		
Sales Order	6	6	15-02-2006 00:00:00	C30000	Microchips	3	C00008	Monitor 19' TFT	10		
Sales Order	6	6	15-02-2006 00:00:00	C30000	Microchips	4	C00009	Keyboard Comfort USB	15		
Sales Order	7	7	21-02-2006 00:00:00	C40000	Earthshaker Corporation	0	A00002	IBM Infoprint 1222	10		
Sales Order	7	7	21-02-2006 00:00:00	C40000	Earthshaker Corporation	1	A00003	IBM Infoprint 1226	10		
Sales Order	7	7	21-02-2006 00:00:00	C40000	Earthshaker Corporation	2	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	8	8	25-02-2006 00:00:00	C20000	Norm Thompson	0	A00006	HP 600 Series Inc	10		
Sales Order	8	8	25-02-2006 00:00:00	C20000	Norm Thompson	1	B10000	Printer Label	400		
Sales Order	9	9	05-03-2006 00:00:00	C23900	Parameter Technology	0	A00001	IBM Infoprint 1312	8		
Sales Order	9	9	05-03-2006 00:00:00	C23900	Parameter Technology	1	A00003	IBM Infoprint 1226	8		
Sales Order	9	9	05-03-2006 00:00:00	C23900	Parameter Technology	2	LM4029MC	Memory Chip	20		
Sales Order	10	10	16-03-2006 00:00:00	C50000	ADA Technologies	0	S10000	Server Point 10000	5		
Sales Order	10	10	16-03-2006 00:00:00	C50000	ADA Technologies	1	P10003	PC Set 1	5		
Sales Order	10	10	16-03-2006 00:00:00	C50000	ADA Technologies	2	P10004	PC Set 2	5		
Sales Order	11	11	20-03-2006 00:00:00	C60000	SG Electronics	0	C00003	Intel P4 2.4 GhZ	10		
